,participant_id,set,trial,response_time,is_delay
219,10e3fb4f,low1,10,2.9322,0
220,10e3fb4f,high,1,6.2484,1
221,10e3fb4f,high,2,4.9324,1
222,10e3fb4f,high,3,3.1659,0
223,10e3fb4f,high,4,3.7503,1
224,10e3fb4f,high,5,2.4648,1
225,10e3fb4f,high,6,4.3605,1
226,10e3fb4f,high,7,35.0655,1
227,10e3fb4f,high,8,2.449,1
228,10e3fb4f,high,9,3.4166,1
229,10e3fb4f,high,10,4.0219,1
230,10e3fb4f,low2,1,3.6353,0
231,10e3fb4f,low2,2,5.5489,1
232,10e3fb4f,low2,3,6.081,0
233,10e3fb4f,low2,4,2.6327,0
234,10e3fb4f,low2,5,1.3153,0
235,10e3fb4f,low2,6,2.0377,1
236,10e3fb4f,low2,7,1.9325,0
237,10e3fb4f,low2,8,1.4885,1
238,10e3fb4f,low2,9,1.3225,1
239,10e3fb4f,low2,10,1.8556,1
240,adeed49f,low1,1,5.324544900038745,0
241,adeed49f,low1,2,1.995113399985712,0
242,adeed49f,low1,3,2.257293500006199,0
243,adeed49f,low1,4,1.6828639999730512,0
244,adeed49f,low1,5,4.11651449999772,1
245,adeed49f,low1,6,4.502651399991009,1
246,adeed49f,low1,7,4.496443399984855,1
247,adeed49f,low1,8,1.8388380000251343,0
248,adeed49f,low1,9,3.658879700000398,0
249,adeed49f,low1,10,2.3083234999794513,0
250,adeed49f,high,1,1.8533314000233077,0
251,adeed49f,high,2,3.0289966000127606,0
252,adeed49f,high,3,2.86296910000965,0
253,adeed49f,high,4,2.0977649000124075,1
254,adeed49f,high,5,2.289628200000152,1
255,adeed49f,high,6,2.0524490000098012,1
256,adeed49f,high,7,1.6518538999953307,1
257,adeed49f,high,8,1.7659865000168793,1
258,adeed49f,high,9,1.8097592000267468,1
259,adeed49f,high,10,1.5152796999900602,1
260,adeed49f,low2,1,4.126544300001115,0
261,adeed49f,low2,2,1.2854485999559984,0
262,adeed49f,low2,3,1.6711321999900974,0
263,adeed49f,low2,4,7.29218970000511,1
264,adeed49f,low2,5,4.321292100008577,0
265,adeed49f,low2,6,1.0142168999882415,0
266,adeed49f,low2,7,1.2768047000281513,1
267,adeed49f,low2,8,1.291583999991417,0
268,adeed49f,low2,9,1.118656300008297,0
269,adeed49f,low2,10,1.9898721000063233,1
270,0fe45248,low1,1,4.723,0
271,0fe45248,low1,2,4.299,0
272,0fe45248,low1,3,7.989,1
273,0fe45248,low1,4,5.999,1
274,0fe45248,low1,5,5.971,0
275,0fe45248,low1,6,15.2,0
276,0fe45248,low1,7,4.284,0
277,0fe45248,low1,8,9.299,0
278,0fe45248,low1,9,3.65,0
279,0fe45248,low1,10,3.204,1
280,0fe45248,high,1,4.251,1
281,0fe45248,high,2,6.151,1
282,0fe45248,high,3,2.956,0
283,0fe45248,high,4,4.817,0
284,0fe45248,high,5,2.906,1
285,0fe45248,high,6,5.937,1
286,0fe45248,high,7,4.249,0
287,0fe45248,high,8,5.934,1
288,0fe45248,high,9,9.75,1
289,0fe45248,high,10,5.853,0
290,0fe45248,low2,1,4.683,0
291,0fe45248,low2,2,7.7,1
292,0fe45248,low2,3,3.166,0
293,0fe45248,low2,4,5.824,1
294,0fe45248,low2,5,2.239,0
295,0fe45248,low2,6,3.133,0
296,0fe45248,low2,7,3.487,0
297,0fe45248,low2,8,2.335,0
298,0fe45248,low2,9,4.605,0
299,0fe45248,low2,10,4.168,0
300,96c58d4e,low1,1,3.6099,0
301,96c58d4e,low1,2,3.5457,0
302,96c58d4e,low1,3,1.8402,1
303,96c58d4e,low1,4,1.509,1
304,96c58d4e,low1,5,2.2402,0
305,96c58d4e,low1,6,2.6916,0
306,96c58d4e,low1,7,4.1934,0
307,96c58d4e,low1,8,2.1364,0
308,96c58d4e,low1,9,2.3741,0
309,96c58d4e,low1,10,2.1578,1
310,96c58d4e,high,1,2.4253,1
311,96c58d4e,high,2,2.5672,1
312,96c58d4e,high,3,2.5077,1
313,96c58d4e,high,4,2.5982,1
314,96c58d4e,high,5,2.4265,1
315,96c58d4e,high,6,2.9671,1
316,96c58d4e,high,7,1.9315,1
317,96c58d4e,high,8,2.2084,1
318,96c58d4e,high,9,2.6852,1
319,96c58d4e,high,10,4.1334,0
320,96c58d4e,low2,1,3.0677,1
321,96c58d4e,low2,2,3.2724,0
322,96c58d4e,low2,3,2.7362,1
323,96c58d4e,low2,4,2.7668,0
324,96c58d4e,low2,5,2.8063,1
325,96c58d4e,low2,6,3.4244,0
326,96c58d4e,low2,7,1.5314,0
327,96c58d4e,low2,8,2.5077,1
328,96c58d4e,low2,9,1.8164,1
329,96c58d4e,low2,10,2.1093,0
330,3ff789a6,low1,1,5.501,0
331,3ff789a6,low1,2,2.209,0
332,3ff789a6,low1,3,2.098,0
333,3ff789a6,low1,4,7.114,0
334,3ff789a6,low1,5,2.574,0
335,3ff789a6,low1,6,2.725,0
336,3ff789a6,low1,7,3.731,0
337,3ff789a6,low1,8,3.125,0
338,3ff789a6,low1,9,3.076,1
339,3ff789a6,low1,10,2.582,1
340,3ff789a6,high,1,4.665,1
341,3ff789a6,high,2,9.048,1
342,3ff789a6,high,3,2.919,0
343,3ff789a6,high,4,3.064,1
344,3ff789a6,high,5,3.756,1
345,3ff789a6,high,6,11.937,1
346,3ff789a6,high,7,2.603,1
347,3ff789a6,high,8,2.719,1
348,3ff789a6,high,9,2.54,1
349,3ff789a6,high,10,3.536,1
350,3ff789a6,low2,1,5.719,0
351,3ff789a6,low2,2,4.164,0
352,3ff789a6,low2,3,2.252,0
353,3ff789a6,low2,4,1.941,0
354,3ff789a6,low2,5,1.874,1
355,3ff789a6,low2,6,3.44,0
356,3ff789a6,low2,7,1.681,0
357,3ff789a6,low2,8,2.202,0
358,3ff789a6,low2,9,1.507,1
359,3ff789a6,low2,10,1.879,0
360,b5013564,low1,1,3.193888668087311,0
361,b5013564,low1,2,1.2302060009678826,1
362,b5013564,low1,3,5.0420273339841515,1
363,b5013564,low1,4,1.2959550840314478,0
364,b5013564,low1,5,2.513199750916101,0
365,b5013564,low1,6,2.015837416984141,0
366,b5013564,low1,7,1.5138241249369455,0
367,b5013564,low1,8,1.878094418090768,1
368,b5013564,low1,9,1.6542017090832817,1
369,b5013564,low1,10,1.7076641260646284,0
370,b5013564,high,1,1.4624645840376616,0
371,b5013564,high,2,1.6778621249832213,1
372,b5013564,high,3,1.9136916249990463,1
373,b5013564,high,4,5.733608833979815,1
374,b5013564,high,5,1.780710958992131,1
375,b5013564,high,6,1.405826751026325,0
376,b5013564,high,7,3.215707625960931,0
377,b5013564,high,8,1.6359946259763092,1
378,b5013564,high,9,2.488695042906329,0
379,b5013564,high,10,1.5714005840709433,1
380,b5013564,low2,1,1.5625235839979723,0
381,b5013564,low2,2,1.0706556680379435,0
382,b5013564,low2,3,1.7232344589428976,0
383,b5013564,low2,4,1.5985495840432122,0
384,b5013564,low2,5,1.670930334017612,0
385,b5013564,low2,6,1.8485424589598551,1
386,b5013564,low2,7,1.4087964169448242,0
387,b5013564,low2,8,1.1877687090309337,1
388,b5013564,low2,9,2.6853117090649903,0
389,b5013564,low2,10,1.175454625976272,1
